Brand,Model,Type,Price,Quality Rating,Brand,Type,Model,Cores,Speed (GHz),Speed Rating,SSD,RAM,Memory Rating,Brand,Model,USB Ports,Other Connections,Operating System,Display Size,Resolution Width x Height,Touchscreen,Display Rating,Weight,Hyperlink
HP,Chromebook 14-ep0008ca,Student,449.99,6,Intel,Alder Lake,N100,4,3.4,3,256,8,5,Intel,UHD Graphics 600,2,USB-C; heaphone/microphone combo; AC Smart Pin; HDMI port,Windows 11,14,1366 x 768,No,3,3.28,https://www.bestbuy.ca/en-ca/product/hp-14-laptop-jet-black-intel-processor-n100-256gb-ssd-8gb-ram-windows-11-home/17478231
Acer,Aspire 1 A115-32-C9P5,Student,399.99,7,Intel,Celeron,N4500,2,2.8,2,128,4,3,Intel,UHD Graphics 600,3,HDMI; 3.5 mm headphone/spaker; ,Windows 11,15.6,1920 x 1080,No,3.5,3.64,https://www.bestbuy.ca/en-ca/product/acer-aspire-1-15-6-laptop-w-1-year-of-microsoft-365-silver-intel-icd-128gb-emmc-4gb-ram-win-11-s/15743184
Lenovo,IdeaPad 82V6007ECF,Student,319.99,5,Intel,Celeron,N4020,2,1.1,1,128,4,3,Intel,UHD Graphics 600,1,Headphone Jack,Windows 11,14,1366 x 768,No,3,3.09,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-1-14-laptop-cloud-grey-intel-celeron-128gb-emmc-ssd-4gb-ram/17195675
ASUS,CX1400CKA-BS01-CB,Student,429.99,6,Intel,Celeron,N4500,2,1.1,1,64,8,2,Intel,UHD Graphics 600,2,Headphone Jack,ChromeOS,14,1920 x 1080,No,3.5,3.24,https://www.bestbuy.ca/en-ca/product/asus-cx1-14-chromebook-transparent-silver-intel-celeron-n4500-64gb-emmc-8gb-ram-chrome-os/16998152
Chromebook,14a-ca1008ca,Student,479.99,5,Intel,Celeron,N4500,2,2,2,128,4,3,Intel,UHD Graphics 600,1,Headphone Jack,ChromeOS,14,1920 x 1080,Yes,4,3.28,https://www.bestbuy.ca/en-ca/product/hp-x360-14-touchscreen-2-in-1-chromebook-silver-intel-celeron-n4500-128gb-ssd-4gb-ram-chrome-os/16982677
ASUS,Vivobook Go 12,Student,281.85,6,Intel,Celeron,N4500,2,1.1,1,64,4,2,Intel,UHD Graphics 600,3,Headphone Jack,Windows 11,11.6,1366 x 768,No,3,2.3,https://www.amazon.ca/Vivobook-Processor-Microsoft-Personal-L210MA-BH09-CB/dp/B09Z756H4C/
HP,Chromebook 15a-na0006ca,Student,481.43,6,Intel,Celeron,N4500,2,2.8,3,128,8,3,Intel,UHD Graphics 600,3,Headphone Jack,ChromeOS,15.6,‎1366 x 768,No,2,5.4,https://www.amazon.ca/dp/B0BXMJC26H/
ASUS,CM14 14,Student,359.99,7,MediaTek,Kompanio,520,8,2,4,64,4,2,ARM,Mali-G52 MC2,3,Headphone Jack,ChromeOS,14,1920 x 1080,No,3.5,3.2,https://www.bestbuy.ca/en-ca/product/asus-cm14-14-chromebook-gravity-grey-mediatek-kompanio-520-64gb-emmc-4gb-ram-chrome-os/17631512
ASUS,‎VivoBook Go 14,Student,480.36,6,Intel,Celeron,N4500,2,2.8,3,128,4,3,Intel,UHD Graphics 600,3,Headphone Jack,Windows 11,14,‎1366 x 768,Yes,4,3.2,https://www.amazon.ca/VivoBook-Celeron-Microsoft-Personal-J1401KA-AS01-CA/dp/B09T8S3N4D/
HP,15a-na0010ca,Student,499.99,7,Intel,Celeron,N4500,2,2.8,3,128,8,4,Intel,UHD Graphics 600,3,2 USB-c; heaphone jack,Chrome OS,15.6,1920 x 1080,No,4,3.7,https://www.bestbuy.ca/en-ca/product/hp-15-6-chromebook-mineral-silver-intel-celeron-n4500-128gb-8gb-ram-chrome-os/16647488
